Date,Company,Industry,Revenue,Expenses,Profit,Assets,Liabilities,Equity,MarketCap,Dividends,EarningsPerShare,PriceEarningsRatio,Beta,Volatility,DebtToEquityRatio,EconomicIndicator,MarketSentiment,GeographicLocation,CustomerAgeGroup,CustomerIncomeGroup,GrossMargin,TotalProfit,ROI,ScenarioRevenue,NetIncome,IndustryROABenchmark,RevenueRank,EconomicGrowthRate,CustomerSatisfactionScore
2020-01-01,C,Technology,304927.0,42121,49963,7403438,494722,9017187,88554112,6799,7.769425184078248,39.520498615311546,0.6960064104978041,0.1989148440780101,0.054864338512664756,0.4967141530112327,-0.6650348354818605,Asia,60+,Medium,262806.0,12271563,0.006748621383740905,300989.85770649405,262806.0,0.008624016061378312,1.0,0.013443122805385564,6
2020-01-02,A,Healthcare,897681.0,150587,-4866,2816719,590683,9815804,20679648,23857,-0.3656793175300947,33.41868124539586,2.4427709336879944,0.1308696762417225,0.06017673132022604,-0.13826430117118466,-0.7908643193311995,South America,36-45,Low,747094.0,10228621,-0.001727541866973596,935705.6235788534,747094.0,0.008637771379571375,1.0,0.017642887551433315,10
2020-01-03,B,Finance,959342.0,100272,32131,8537891,946988,7466042,31326134,39852,9.402883472560235,48.65771532232614,2.3515417646614685,0.2526853275543165,0.12683936147158026,0.6476885381006925,0.2728604990872734,South America,60+,Medium,859070.0,9976726,0.0037633415558947754,931847.9492245272,859070.0,0.008647471595630864,1.0,0.010605367580140175,8
2020-01-04,A,Healthcare,426505.0,264419,96754,9220659,937615,981236,6410502,33634,5.119876537481504,16.718562872478728,0.7169614096704298,0.4910781135206825,0.9555448434423522,1.5230298564080254,0.4129514529738023,North America,18-25,High,162086.0,10228621,0.010493176246947209,345828.44910186605,162086.0,0.008637771379571375,1.0,0.03119244917564096,3
2020-01-05,C,Finance,462018.0,256246,69531,7543033,505234,1912518,59909374,49631,8.312452065785624,27.84291963833176,1.085014305673519,0.1171780323061979,0.2641721541967187,-0.23415337472333597,-0.9368277103487159,Europe,60+,Medium,205772.0,12271563,0.009217910090012863,514411.11888906424,205772.0,0.008647471595630864,1.0,0.01705544242411966,5
2020-01-06,C,Finance,164315.0,75096,30295,5978139,758534,8419183,16508937,1780,4.480859640140109,5.147924158821848,1.0741462198112697,0.1261405792630147,0.09009591548253554,-0.23413695694918055,0.8724244924873796,Africa,36-45,Low,89219.0,12271563,0.005067630578680087,132142.99219622472,89219.0,0.008647471595630864,1.0,0.034527555451261835,7
2020-01-07,D,Technology,522120.0,223462,98862,7513326,256590,5875201,81732093,44372,0.3843348228796834,17.2756255024729,1.3640854631051642,0.4761285807385451,0.04367339942922804,1.5792128155073915,-0.8960574326970552,Africa,46-60,Medium,298658.0,11945424,0.013158220473862042,576815.1806609487,298658.0,0.008624016061378312,1.0,0.03528747850540909,1
2020-01-08,A,Technology,621753.0,429728,64167,5444882,867359,3375609,97976434,29309,1.991091468083555,19.194641017818117,0.5387610646854579,0.4688740142411908,0.25694889425878414,0.7674347291529088,0.08259267060214093,North America,60+,High,192025.0,10228621,0.011784828394811863,719568.2995704986,192025.0,0.008624016061378312,1.0,0.01918954035278256,7
2020-01-09,B,Healthcare,231358.0,237484,34537,9770626,786690,6711726,51284178,32831,9.684085137578563,44.88718256056009,1.187111814705379,0.0704661944091743,0.11721128067504544,-0.4694743859349521,0.41812103890183283,Europe,26-35,Medium,-6126.0,9976726,0.003534778631379402,225142.79138237808,-6126.0,0.008637771379571375,1.0,0.009915512674526504,8
2020-01-10,A,Finance,19255.0,211858,67566,324821,673719,1695433,24222729,37619,3.9588054466237543,18.12887515341751,2.202222147040005,0.0531263902673915,0.39737282452329287,0.5425600435859647,0.7419382474921712,Asia,18-25,High,-192603.0,10228621,0.20800995009559112,19528.74812779924,-192603.0,0.008647471595630864,1.0,-0.0008589787773333711,8
